transaction_id,customer_id,transaction_date,amount,category
3025,58638,2000-01-01T18:43:34.000+05:30,69699.2,Sea@^food
26952,81145,2000-01-02T04:54:38.000+05:30,67203.74,Sea@^food
29756,63767,2000-01-03T00:58:50.000+05:30,37491.71,Sea@^food
28632,47356,2000-01-03T05:20:43.000+05:30,88414.37,Sea@^food
23533,57900,2000-01-03T19:18:53.000+05:30,101921.25,Sea@^food
49841,8112,2000-01-10T03:46:31.000+05:30,96163.71,Sea@^food
85818,73103,2000-01-18T12:40:45.000+05:30,60229.73,Sea@^food
13684,81242,2000-01-20T14:07:55.000+05:30,47796.92,Sea@^food
67716,77900,2000-01-23T17:30:37.000+05:30,133962.82,Sea@^food
86601,47704,2000-01-29T05:23:22.000+05:30,61371.53,Sea@^food
6935,25788,2000-01-31T21:39:58.000+05:30,85743.44,Sea@^food
45702,25213,2000-02-05T01:39:25.000+05:30,107812.8,Sea@^food
19352,73112,2000-02-08T03:04:44.000+05:30,94819.83,Sea@^food
20159,57260,2000-02-09T14:35:58.000+05:30,93925.09,Sea@^food
54008,57390,2000-02-10T21:59:20.000+05:30,55674.22,Sea@^food
29819,4884,2000-02-12T07:10:42.000+05:30,93088.06,Sea@^food
9637,49539,2000-02-12T13:55:09.000+05:30,58549.64,Sea@^food
66719,81970,2000-02-13T10:35:31.000+05:30,61497.36,Sea@^food
86471,42949,2000-02-16T16:24:29.000+05:30,41913.03,Fronzen #Foods
14161,7563,2000-02-19T05:02:40.000+05:30,139746.48,Sea@^food
4772,5807,2000-02-20T10:15:18.000+05:30,135161.63,Sea@^food
16473,26915,2000-02-21T22:36:43.000+05:30,35668.08,Sea@^food
60474,85255,2000-02-24T00:21:45.000+05:30,37311.53,Sea@^food
2565,42479,2000-02-24T06:11:41.000+05:30,38552.25,Sea@^food
86509,1387,2000-02-26T10:37:00.000+05:30,117602.45,Sea@^food
26985,8779,2000-02-29T18:04:19.000+05:30,35147.02,Sea@^food
9597,51169,2000-03-02T16:27:09.000+05:30,110568.3,Sea@^food
75045,28812,2000-03-04T19:54:53.000+05:30,75847.73,Sea@^food
6437,5152,2000-03-05T00:50:43.000+05:30,68418.11,Sea@^food
71779,39735,2000-03-05T12:20:11.000+05:30,109121.05,Sea@^food
8169,7811,2000-03-13T22:27:23.000+05:30,128509.19,Sea@^food
89177,24448,2000-03-14T19:57:24.000+05:30,45773.57,Sea@^food
65178,43113,2000-03-19T02:24:32.000+05:30,42648.29,Sea@^food
80037,27013,2000-03-21T01:44:48.000+05:30,81879.68,Sea@^food
50522,60264,2000-03-21T19:35:29.000+05:30,97131.83,Sea@^food
87976,72070,2000-03-26T17:00:18.000+05:30,85905.61,Sea@^food
16683,41668,2000-03-31T20:55:58.000+05:30,118963.92,Sea@^food
8656,20602,2000-04-11T13:49:10.000+05:30,87797.72,Sea@^food
7876,69981,2000-04-13T00:51:44.000+05:30,102973.96,Sea@^food
995,47818,2000-04-15T06:28:21.000+05:30,110290.76,Sea@^food
9118,29343,2000-04-15T09:00:42.000+05:30,74475.83,Fronzen #Foods
22469,55989,2000-04-17T04:04:41.000+05:30,93976.1,Sea@^food
84088,63206,2000-04-20T23:36:26.000+05:30,114085.46,Sea@^food
64751,66914,2000-04-24T05:54:59.000+05:30,141001.12,Fronzen #Foods
68381,20969,2000-04-30T21:44:44.000+05:30,99450.07,Sea@^food
71744,18985,2000-05-03T10:30:40.000+05:30,97289.61,Sea@^food
57048,29994,2000-05-03T20:07:35.000+05:30,118154.19,Sea@^food
66620,82047,2000-05-07T02:43:51.000+05:30,114680.63,Sea@^food
60633,32405,2000-05-07T11:35:20.000+05:30,109458.63,Sea@^food
54923,55234,2000-05-08T01:11:25.000+05:30,70171.7,Sea@^food
85009,16316,2000-05-10T05:06:19.000+05:30,62037.45,Sea@^food
61906,81215,2000-05-13T08:42:37.000+05:30,96944.73,Sea@^food
46773,55188,2000-05-14T18:01:26.000+05:30,127625.58,Sea@^food
28050,12739,2000-05-18T06:17:16.000+05:30,92823.08,Sea@^food
3928,76776,2000-05-18T20:20:36.000+05:30,123844.87,Sea@^food
68449,81040,2000-05-23T13:26:57.000+05:30,62901.86,Sea@^food
20172,12480,2000-05-24T05:33:35.000+05:30,128470.72,Sea@^food
73188,67270,2000-06-01T16:41:32.000+05:30,120576.88,Sea@^food
6140,65497,2000-06-12T15:49:41.000+05:30,141437.7,Sea@^food
72869,17305,2000-06-17T06:37:58.000+05:30,38577.68,Sea@^food
73111,17353,2000-06-19T13:00:57.000+05:30,135567.13,Sea@^food
32151,85008,2000-06-25T05:36:58.000+05:30,44947.04,Sea@^food
71129,29169,2000-06-26T03:16:40.000+05:30,77108.42,Sea@^food
27721,79735,2000-06-27T16:27:47.000+05:30,118692.97,Sea@^food
80320,88345,2000-06-28T01:59:21.000+05:30,44001.48,Sea@^food
55768,41959,2000-06-30T07:56:02.000+05:30,101740.52,Sea@^food
13704,43203,2000-07-04T17:48:24.000+05:30,46062.05,Sea@^food
60385,66765,2000-07-09T08:52:21.000+05:30,54518.25,Sea@^food
60447,40978,2000-07-13T09:16:24.000+05:30,110504.51,Sea@^food
30996,21683,2000-07-14T02:20:20.000+05:30,108856.21,Sea@^food
28582,15245,2000-07-19T08:23:22.000+05:30,64423.19,Sea@^food
56467,85301,2000-07-20T07:11:29.000+05:30,42660.72,Sea@^food
35558,32324,2000-07-25T20:13:52.000+05:30,65646.2,Sea@^food
81270,82148,2000-07-27T09:41:09.000+05:30,94413.06,Sea@^food
26852,52193,2000-07-28T03:16:49.000+05:30,138705.9,Sea@^food
36967,12070,2000-07-28T22:51:12.000+05:30,79580.97,Sea@^food
16333,49757,2000-07-29T15:38:06.000+05:30,65363.8,Sea@^food
49497,35668,2000-08-01T18:31:10.000+05:30,63004.3,Sea@^food
83904,2863,2000-08-03T08:16:15.000+05:30,142087.79,Sea@^food
3960,54620,2000-08-07T04:54:55.000+05:30,132067.61,Sea@^food
64844,75812,2000-08-07T17:53:26.000+05:30,83734.55,Sea@^food
34340,4220,2000-08-08T17:27:07.000+05:30,127645.1,Sea@^food
85647,87660,2000-08-10T11:51:51.000+05:30,34210.97,Sea@^food
49765,11517,2000-08-11T05:26:40.000+05:30,109837.33,Sea@^food
7822,12562,2000-08-19T01:35:23.000+05:30,110090.98,Sea@^food
82755,64410,2000-08-19T15:25:51.000+05:30,119296.14,Sea@^food
